state,city,token,status,depots,count_est,count,time_est,time,date,ver,remarks
Arizona,Camp Verde,camp_verde,all,4,6,5,15,,2023-02,1.46,
Arizona,Clifton,clifton,all,3,5,4,10,,2023-02,1.46,
Arizona,Ehrenberg,ehrenberg,all,3,5,3,10,,2023-02,1.46,
Arizona,Flagstaff,flagstaff,all,8,10,10,35,,2022-11,1.46,
Arizona,Grand Canyon Village,g_canyon_vlg,all,5,7,5,15,,2023-02,1.46,
Arizona,Holbrook,holbrook,all,6,8,7,25,,2023-02,1.46,
Arizona,Kayenta,kayenta,all,4,6,4,10,10,2022-12,1.46,
Arizona,Kingman,kingman,all,7,9,8,25,20,2023-01,1.46,
Arizona,Nogales,nogales,all,8,10,9,30,10,2022-12,1.46,
Arizona,Page,page,all,5,7,7,25,,2023-02,1.46,
Arizona,Phoenix,phoenix,all,14,16,16,55,50,2022-12,1.46,
Arizona,San Simon,san_simon,all,4,6,4,10,10,2022-12,1.46,
Arizona,Show Low,show_low,all,3,5,4,10,10,2022-12,1.46,
Arizona,Sierra Vista,sierra_vista,all,4,6,6,20,,2023-02,1.46,
Arizona,Tucson,tucson,all,7,9,11,40,15,2023-01,1.46,
Arizona,Yuma,yuma,all,7,9,9,30,15,2023-01,1.46,
California,Bakersfield,bakersfield,,9,11,,40,,,,
California,Barstow,barstow,,6,8,,25,,,,
California,Carlsbad,carlsbad,,4,6,,20,,,,
California,El Centro,el_centro,,2,4,,10,,,,
California,Eureka,eureka,,6,8,,25,,,,
California,Fresno,fresno,,10,12,,40,,,,
California,Hilt,hilt,,2,4,,10,,,,
California,Huron,huron,,2,4,,10,,,,
California,Los Angeles,los_angeles,,13,15,,50,,,,
California,Oakdale,oakdale,,2,4,,10,,,,
California,Oakland,oakland,,4,6,,20,,,,
California,Oxnard,oxnard,,10,12,,40,,,,
California,Redding,redding,,13,15,,50,,,,
California,Sacramento,sacramento,,11,13,,45,,,,
California,San Diego,san_diego,,7,9,,30,,,,
California,San Francisco,san_francisc,,6,8,,25,,,,
California,Santa Cruz,santa_cruz,,7,9,,30,,,,
California,Santa Maria,santa_maria,,6,8,,25,,,,
California,Stockton,stockton,,5,7,,25,,,,
California,Truckee,truckee,,7,9,,30,,,,
California,Ukiah,ukiah,,3,5,,15,,,,
